C1,C2,C3,description,author,questions
ПРОЦЕСС ТЕРАПИИ,АЛЬЯНС И СЕТТИНГ - 3,конфиденциальность,проговаривает с клиентом конфиденциальность,Аня,"(1) Я подписываю с клиентом информированное согласие о конфиденциальности терапии (чек-бокс с 2-мя вариантами)
(2) Я  согласовываю с клиентом возможность аудио/видео записи сессии (чек бокс)
(3) Я принимаю меры, чтобы анонимность клиента была сохранена во время разбора случая на супервизии и интервизии 
(4) Я обсуждаю в профильных сообществах коллег в соцсетях случаи своих клиентов 
(5) Я не трачу время клиентов на обсуждение основ конфиденциальности, ведь клиенты и так знают, что могут доверить психотерапевту свои секреты (чек-бокс)
(6) Я проговариваю устно, но не фиксирую письменно согласие о конфиденциальности терапии (чек бокс)"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-1,Принятие,проявляет уважение и принятие,Лена,"(1) Когда я слушал(а) клиента, то смотрел(а) на него, активно поддерживая контакт 
(2) Я с уважением отношусь к личности, мировоззрению, ценностям клиента и стараюсь продемонстрировать это
(3) Я с уважением относился(лась) к решениям клиента, даже если не до конца понимал(а) их 
(4) Когда клиент плачет, я обращаю его внимание на позитивные стороны ситуации
(5) Если я считаю переживания клиента необоснованными, то сразу говорю ему об этом
(6) Я отказывался(лась) работать с клиентом, если чувстовал(а) конфликт ценностей "
ОТНОШЕНИЯ,ОТНОШЕНИЯ-1,перефразирование и пересказ,"использует перефразирование/пересказ, уточняет, правильно ли понял, что выражает сказанное",Лена,"(1) Я использовал(а) перефразирование, чтобы убедиться, что правильно понимаю клиента 
(2) Я повторял(а) сказанное словами клиента 
(3) Я уточнял(а) у клиента, правильно ли я его понимаю 
(4) Я не задавал(а) уточняющие вопросы, потому что всегда понимаю клиента с первого раза 
(5) Я не использовал(а) перефразирование 
(6) После краткого рассказа клиента я сразу предлагал(а) техники действия"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-1,Эмпатия,"повторяет и называет чувства клиента, отзеркаливает клиентские проявления, проявляет сопереживание или сочувствие. ",Лена,"(1) Я называл(а) чувства, переживаемые клиентом 
(2) Я часто испытывал(а) теплые чувства и заботу по отношению к клиенту
(3) Когда я слушал(а) клиента, представлял(а), что бы я чувствовал(а), если бы эти события произошли в моей жизни 
(4) Я не отзеркаливал(а) чувства клиента, чтобы не вовлечься в его переживания и быть в состоянии помочь ему 
(5) Я уделял(а) больше внимания решению проблем клиента, а не разговорам о его чувствах
(6) Я не называл(а) чувства клиента, он сам должен осознавать и называть их "
ОТНОШЕНИЯ,ОТНОШЕНИЯ-1, поддержка,"говорит клиенту слова поддержки, одобрения и поощрения, проявляет заботу",,"(1) Я говорил(а) клиентам слова одобрения и поддержки в процессе работы 
(2) Я больше времени анализировал(а) проблему, а не поощрял(а) и одобрял(а) клиента 
(3) Я обращал(а) внимание на то, что у клиента хорошо получалось 
(4) Я спрашивал(а) клиента о том, комфортно ли ему во время сессии
(5) Я отслеживал(а) степень проявления заботы о клиенте, чтобы не формировать зависимость от терапевта
(6) Я не не использовал(а) приемы психологической поддержки в работе с клиентом
(7)Я использовал(а) невербальные способы поддержки клиента"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-1,невербальные навыки,"зеркалит позу клиента, устанавливает контакт глаз, подстраивает темп, тембр, громкость речи, мимикой включен в беседу; учитывает невербальное проявление клиента в работе",Аня,"(1) Я старался(лась) поддерживать зрительный контект с клиентом, чтобы укрепить терапевтический альянс 
(2) Я подстраивался(лась) под позу, тембр и манеру речи клиента
(3) Я обращал(а) большое внимание на невербальные проявления клиента 
(4) Я не подстраивался(лась) под позу и манеру речи клиента
(5) Я уделял(а) внимание смыслу сказанного клиентом, а не его невербальным проявлениям
(6) Мне было трудно удерживать зрительный контакт с клиентом, это отвлекало от сути нашей беседы"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-1,конгруэнтность,"проявляет конгруэнтность (совпадение вербального и невербального содержания, свободное выражение чувств)",,"(1) Я следил(а) за тем, чтобы то, что я произносил(а) соответствовало тому, что я переживал(а)
(2) Я открыто делился своими чувствами с клиентом во время сессии
(3) Я старался(лась) не показывать клиенту свои чувства, возникающие в процессе терапии
(4) Я старался(лась) быть сдержанным(ой), сохраняя нейтральный тон 
(5) Я был(а) спонтанным(ой) в выражении своих чувств на встречах с клиентами
(6) Я не был(а) спонтанным(ой) во время консультации
(7) На вопросы клиента о моих чувствах я давал(а) честный ответ, даже если это могло задеть его
(8) Я поддерживал(а) клиента, даже если чувствовал(а), что не хочу этого делать
(9) Я прикладывал(а) усилия, чтобы не показывать клиенту связанные с ним негативные эмоции"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-1,резюмирование,"выделяет суть клиентского запроса или переживания, вносит его в диалог. Подводит итог сказанному",,"(1) Я резюмировал(а) слова клиента
(2) Я не использовал(а) обобщение
(3) Я повторял(а) слова клиента, чтобы убедиться, что я правильно его понял(а) 
(4) Я избегал(а) переспрашиваний в процессе работы
(5) По следам рассказа клиента я обобщал(а) суть его переживаний и размышлений
(6) После рассказа клиента я кратко резюмировал(а) ему суть сказанного"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-1,понятность,"объясняется простым понятным языком, не использует сложные запутанные конструкции",Таня А,"(1) Во время общения с клиентом я использовал(а) психологические термины, чтобы подчеркнуть важность и экспертность своего мнения
(2) Я говорил(а) с клиентом понятным ему языком
(3) Я использовал(а) стиль общения, которого придерживался клиент
(4) Я использовала психологические термины, чтобы завоевать доверие клиента
(5) Клиент спрашивали меня о том, что я имел(а) в виду
(6) Я использовал(а) метафоры и аналогии, чтобы клиенту было понятнее, что я имел(а) в виду"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-2,Распознавание разрывов в терапевтическом альянсе,Замечает потерю и разрыв контакта. Замечает непонимание со стороны клиента либо свое собственное непонимание по отношению к клиенту,,"(1) Я обсуждаю с клиентом, как его пропуски и опоздания связаны с нашими с ним терапевтическими отношениями
(2) Я  замечаю, что клиент отстраняется, закрывается или уклоняется от содержания нашей беседы на сессиях
(3) Я стараюсь восстановить контакт с клиентом, если замечаю, что он нарушается 
(4) Я делаю выбор в пользу техник, работающих на цели клиента, а не техник работающих на отношения с клиентом  
(5) Когда клиент закрывается в процессе терапии, я не пытаюсь его вовлечь в разговор, а жду инициативы от него
(6) Я уточняю, с чем связаны изменения в поведении клиента  на сессии (изменение интонации, непривычно долгое молчание и.т.д) "
ОТНОШЕНИЯ,ОТНОШЕНИЯ-2,сопротивление,"обходит сопротивление клиента  (работа с несоблюдением договоренностей клиентом, с нежеланием клиента делать какие-то упражнения или домашние задания, разговаривать на определенные темы), не подпадает под провокации, переносы и манипуляции (соблазнение, агрессия со стороны клиента)",,"(1) Если я вижу одно из следующих проявлений в поведении клиента (несоблюдение договоренностей, опоздания, невыполнение домашнего задания), я никак не комментирую это.  
(2) Если я вижу одно из следующих проявлений в поведении клиента (несоблюдение договоренностей, опоздания, невыполнение домашнего задания), я обсуждаю это с клиентом
(3) Когда клиент отказывается работать с какой-то техникой, я обосновываю ее необходимость и настаиваю на ее проведении
(4) Когда клиент отказывается работать с какой-то техникой, я обсуждаю с ним возможность альтернативных вариантов
(5) Если клиент пытается манипулировать мной, я замечаю и сообщаю ему об этом 
(6) Я останавливаю попытки манипуляций со стороны клиента
(7) Если я подозреваю у клиента наличие сопротивления, я задаю вопрос об этом
(8) Если клиент не хочет работать с какой-то темой, то я соглашаюсь и не затрагиваю ее"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-2,обратная связь,"запрашивает обратную связь, адекватно реагирует на неё",Таня А,"(1) Я использовал(а) шкалы обратной связи 
(2) Я обсуждал(а) с клиентом нашу работу, его удовлетворенность ею
(3) Когда клиент негативно отзывался о том, что происходило на сессии, я старался(лась) понять, что именно его не устраивало 
(4) Когда клиент высказывал неудовлетворенность работой, я пытался(лась) переубедить его
(5) Когда клиент был недоволен и не ценил проделанную работу, я расстраивался(лась) и говорил(а) клиенту о своих чувствах
(6) Я не обсуждал(а) с клиентом процесс работы, так как он не является профессионалом в этой деятельности"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-2,контекст,учитывает состояние терапевтических отношений и нужды клиента в каждый определенный момент,,"(1) Я следил(а) за тем, как менялось состояние клиента от начала к концу сессии
(2) Я возвращал(а) клиента к изначальному плану терапии, если он отвлекался на другие цели
(3) В начале сессии я обсуждал(а) с клиентом, с чем бы он хотел поработать сегодня
(4) Я не переключался(лась) на текущие потребности клиента, не связанные с выбранной целью
(5) Я спрашивал клиента, насколько работа с текущими переживаниями для него актуальнее, чем работа над целью
"
ОТНОШЕНИЯ,ОТНОШЕНИЯ-3,Мультикультурность,Точно определяет культурно обусловленные формулировки для представителей разных культур. Не присоединяется к дискриминационной позиции клиента.,Дима,"(1) Я стараюсь узнать больше об опыте клиента, связанном с его гендерной, этнической и др. идентичностью
(2) Мне сложно работать с клиентом из-за его взглядов или культурных особенностей
(3) Я не отказываюсь от работы с клиентом только по причинам, связанным с его гендерной идентичностью и сексуальной ориентацией
(4) Цвет кожи, акцент в речи или внешний вид клиента мешают моей работе
(5) Я не работаю с людьми определенных национальностей или вероисповеданий
(6) Я учитываю в работе культурные, религиозные и гендерные особенности клиента
(7) Я поддерживаю свою информированность в области мультикультурных особенностей"
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,челендж (работа с затруднениями),"Выявляет и указывает клиенту на дисфункциональные паттерны, неадаптивные когниции и защитные механизмы, производит интервенции, направленные на их модификацию. Указывает на несоответствия, противоречия или иррациональные убеждения, которые клиент не замечает, не может или не хочет изменить. ",Магда,"(1) Когда я наблюдал(а) у клиента какой-то дисфункциональный процесс, убеждение или внутреннее противоречие, я прямо указывал(а) на это
(2) Я обсуждал(а) с клиентом его затруднения, и мы вместе размышляли над тем, как их преодолеть
(3) Я использовал(а) техники, помогающие клиенту преодолеть его дисфункциональные процессы и паттерны поведения
(4) Я ждал(а), когда клиент сам обнаружит свои внутренние противоречия и затруднения
(5) Я не указывал(а) клиенту на его дисфункциональные процессы, убеждения или внутренние противоречия, чтобы не нарушить наши отношения"
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,интерпретации,"предлагает новые значения и объяснения поведению, мыслям и чувствам клиента",Магда,"(1) Я рассказывал(а) клиенту о том, что может значить его поведение или состояние с точки зрения той теории, которой я учился(лась)
(2) Я просил(а) клиента говорить о своих чувствах и мыслях, не предлагая своих интерпретаций
(3) Я акцентировал(а) внимание клиента на том, что его действия, слова и чувства могут иметь определенный психологический смысл 
(4) Я не раскрывал(а) клиенту свое видение его случая
(5) Я не использовал(а) интерпретации, чтобы не исказить субъективный опыт клиента "
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,Вопросы,"использует целенаправленные вопросы, умеет с помощью вопросов раскрывать категории, важные для продвижения терапевтического процесса",Магда,"(1) Вопросы, которые я задавал(а) клиенту, были не случайны и точно соответствовали плану терапии
(2) Я хорошо понимал(а), что я спрашиваю у клиента и зачем
(3) Я задавал(а) вопросы, ориентируясь на поставленную цель терапии
(4) Задавая вопросы клиенту, я опирался(лась) на интуицию 
(5) Сначала я собирал(а) как можно больше информации о жизни клиента, а потом думал(а), что из этого пригодится в работе 
(6) Я использовал(а) вопросы только для сбора информации, а не для продвижения терапевтического процесса"
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,альтернативные взгляды,"предлагает альтернативные взгляды, противоположные или дополняющие убеждения клиента",Лена,"(1) Я рекомендовал(а) клиенту ознакомиться с дополнительной информацией (исследования, книги, статистические данные, статьи и др.), которые не совпадают с его убеждениями
(2) Я задавал(а) вопросы, направленные на расширение и дополнение видения ситуации клиентом
(3) Я соглашался(лась) с убеждениями клиента, даже если внутренне противоречил(а), не хотелось спорить с клиентом 
(4) Я не привносил(а) информации, противоречащей взгляду клиента
(5) Я старался(лась) не влиять на убеждения клиента"
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,Пауза,"умеет брать паузу, чтобы дать клиенту время соприкоснуться с мыслями или чувствами",Дима,"(1) Я делал(а) паузы в разговоре, чтобы дать клиенту возможность побыть со своими мыслями и переживаниям
(2) Я использовал(а) молчание, чтобы углубить контакт
(3) Если в разговоре с клиентом возникала пауза, я старался(лась) ее чем-то заполнить
(4) Я предлагал(а) клиенту помолчать, чтобы обратить его внимание на то, что с ним происходит
(5) Я молчал(а), когда не знал(а), как продолжить работу
(6) Я не пользовался(лась) техникой терапевтических пауз на сессии"
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,прямое руководство,"дает клиенту уместные для ситуации рекомендации и предписания, которые подразумевают конкретные действия («Я хочу, чтобы вы попытались поговорить с отцом») ",Дима,"(1) Я давал(а) клиенту домашние задания
(2) Я предлагал(а) клиенту варианты поведения в определенных ситуациях
(3) Я составил(а) для клиента инструкцию, которой он будет следовать
(4) Я не предлагал(а) клиенту конкретных решений ситуации
(5) Я не давал(а) клиенту каких-либо установок/не учил(а) клиента, как поступать
(6) Я не руководил(а) действиями клиента 
(7) Я использовал(а) рекомендации и предписания в своей работе"
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,уместное самораскрытие,"раскрывает личную информацию о себе, когда это может помочь клиенту; рассказывает о собственных инсайтах (описывает свой личный опыт, после которого ему удалось увидеть нечто по-новому)",Лена,"(1) Я рассказываю клиенту о личном опыте применения упражнений и техник (например, практик внимательности), которые использую в терапии
(2) Я делюсь своим опытом с клиентом, чтобы показать альтернативный способ мышления или действий
(3) Я ничего не рассказываю клиенту о себе, на терапии мы говорим о клиенте
(4) Когда клиент задает вопросы обо мне, я отвечаю максимально подробно 
(5) Когда клиент задает вопросы обо мне, я избегаю ответа на них 
(6) Я нормализую переживания клиента, раскрывая перед ним свой опыт
(7) Я раскрываю перед клиентом личный опыт, когда понимаю, что у нас крепкий терапевтический альянс
(8) Я спрашиваю разрешения у клиента, прежде чем рассказать о личном опыте"
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,стимуляция,"использует фразы типа ""расскажите больше о"" для раскрытия и поддержания клиентских процессов",Женя,"(1) Я использовал(а) фразы «расскажите больше о…», «а что еще…?»
(2) Если клиент сам не рассказывал подробно о чем-то, я не просил(а) клиента рассказать больше
(3) Я просил(а) клиента рассказать подробнее о чем-либо
(4) Я просил(а) клиента подробнее рассказать о чувствах, которые он испытывает
(5) Я не просил(а) дополнительно объяснить или рассказать клиента что-либо, поскольку все понимал(а) сразу же
(6) Я не просил(а) рассказать клиента о чем-либо подробнее, поскольку считал(а), что это нарушит естественный процесс терапии
(7) Я просил(а) клиента на сессии усилить невербальные проявления чувств и переживаний
(8) Когда клиент дистанцировался и избегал говорить о чем-то, я старался(лась) вовлечь его в обсуждение"
РАБОТА С ИЗМЕНЕНИЯМИ,РАБОТА С ИЗМЕНЕНИЯМИ,информация о психических процессах,"предоставляет информацию о психических процессах (например, последствия длительного сдерживания гнева)",Таня А,"(1) Я использовал(а) свои знания о психических процессах, чтобы объяснить клиенту то, что с ним происходит
(2) Я информировал(а) клиента о способах совладания с негативными эмоциональными состояниями
(3) Я говорил(а) клиенту, как его эмоциональное состояние может влиять на его физическое самочувствие
(4) Я не посвящал(а) клиента в тонкости работы психических процессов, так как клиенту требуется помощь, а не лекция по психологии
(5) Я не объяснял клиенту, как работает его психика, так как считаю, что осознавание этого происходит (должно происходить) в процессе работы
(6) Я не занимался(лась) психологическим просвещением клиента."
ПРОФЕССИОНАЛИЗМ,ПРОФЕССИОНАЛИЗМ-1,знание границ своей компетентности,"вовремя перенаправляет к другому специалисту, знает симптоматику для перенаправления",Аня,"(1) На первых сессиях я понимаю, могу ли помочь клиенту, или необходимо перенаправить его к другому специалисту
(2) Я беру в работу клиента, даже если не учился(лась) работать именно с таким типом проблем
(3) Я уточняю наличие симптомов тяжелых нарушений у клиента, чтобы вовремя перенаправить к подходящему специалисту 
(4) Даже если у меня возникают сомнения по поводу какого-то клиента, я стараюсь сначала справиться сам(а), и только при ухудшении его состояния обращаюсь к другим специалистам
(5) Я пробую немедикаментозные способы помощи, прежде чем рекомендовать обратиться к специалистам по поводу медикаментозного лечения
(6) Я использую диагностические процедуры (интервью, опросники, мануалы), чтобы убедиться, что обладаю достаточной компетенцией для работы с клиентом"
ПРОФЕССИОНАЛИЗМ,ПРОФЕССИОНАЛИЗМ-1,межпрофессиональное сотрудничество,"знает ключевые вопросы и концепций в смежных дисциплинах, сотрудничает и взаимодействует с профессионалами в них",Аня,"(1) Я интересуюсь знаниями в области биологии, социальных наук, медицины, антропологии, чтобы понимать контекст, в котором развивается моя практика
(2) Я ищу контакты хороших специалистов в смежных профессиях, чтобы при необходимости перенаправить к ним клиента
(3) Я общаюсь с коллегами из смежных профессий по рабочим вопросам
(4) У меня не хватает времени, чтобы уделять внимание развитию знаний в смежных специальностях 
(5) Я не интересуюсь спецификой смежных дисциплин (психиатрии, биологии, социальной работы и пр.)
(6) Я общаюсь на профессиональные темы преимущественно с коллегами из своего подхода"
ПРОФЕССИОНАЛИЗМ,ПРОФЕССИОНАЛИЗМ-1,Профессиональные знания,"уместно и точно употребляет термины, использует приемы, взятые из проф. литерауры, на практике, расширеяет представления о техническом репертуаре, понимает тонкости и особенности применения различных инструментов 
P.S. уместно - это соответствует цели и теме беседы, не разрывает отношений",Лена,"(1) Я объясняю клиентам некоторые психологические термины, которые считаю полезными для понимания ситуации
(2) Я читаю дополнительную литературу, чтобы лучше разобраться в ситуации клиента
(3) Я изучаю особенности применения техник (уместность, особености и модификации разных упражнений)
(4) Я не употребляю психологические термины, чтобы не запутывать клиента
(5) Я не ищу дополнительную информацию, моих знаний хватает для работы с клиентами
(6) Я не применяю новые приемы - лучше делать то, что уже хорошо знаешь"
ПРОФЕССИОНАЛИЗМ,ПРОФЕССИОНАЛИЗМ-2,Супервизия - личная терапия - интервизия,"не забывает про их необходимость, посещает",Ульяна,"(1) Я прохожу личную терапию для проработки собственных проблем и запросов
(2) Я не ощущаю потребности в личной терапии
(3) Я обращаюсь к интервизии и/или супервизии для рефлексии работы с клиентами
(4) Я обращаюсь к своим коллегам, чтобы обсудить возникающие в процессе консультирования проблемы (например, этические, эмоциональные и пр.)
(5) Я осваиваю новые подходы самостоятельно, не прибегая к обучению у других специалистов
(6) Я не прибегаю к супервизиям/интервизиям в своей работе"
ПРОФЕССИОНАЛИЗМ,ПРОФЕССИОНАЛИЗМ-2,мотивация развиваться,"посещает конференции, курсы повышения квалификации, читает профессиональную литературу, исследования, проводит профилактику выгорания и т.д.",Ульяна,"(1) Я изучаю актуальную повестку научных событий в своей области
(2) Я посещаю конференции и участвую в них
(3) Мне не хватает времени и сил следить за исследованиями в области психологии и смежных специальностей
(4) Я  не ощущаю необходимости в курсах повышения квалификации
(5) Я не провожу профилактику эмоционального выгорания
(6) Я предпринимаю специальные действия для профилактики эмоционального выгорания (супервизии, личная терапия, интервизии, группы и т.д.)
"
ПРОФЕССИОНАЛИЗМ,ПРОФЕССИОНАЛИЗМ-2,самооценка,"самооценка ошибок в работе, изучение «слабых мест»,  учет сильных мест, подбор тренировок, которые позволят отработать трудные места",Таня А,"(1) Я анализировал(а) проведенные мною сессии, чтобы выявить свои зоны развития 
(2) Вне сессий я тренировал(а) свои профессиональные навыки (например, в группах, на тренингах и т.д.)
(3) Между сессиями я анализировал(а) качество терапевтического альянса 
(4) Я проводил(а) самостоятельный анализ сессий, чтобы лучше разобраться в случае клиента
(5) Я не анализировал(а) случай клиента между сессиями
(6) Я не занимался(лась) совершенствованием навыков психологической работы, так как считаю себя уже достаточно высококвалифицированным специалистом
(7) На сессиях я действовал(а) интуитивно, не вдаваясь в детальный анализ своей работы"
РЕЗУЛЬТАТЫ,РЕЗУЛЬТАТЫ,резюмирование сессии и результатов терапии c клиентом,резюмирует сессию и результаты терапии,Таня А,"(1) Я не подводил(а) итогов на сессии
(2) В конце сессии я подводил(а) итог или просил(а) резюмировать клиента
(3) Я специально оставлял(а) время в конце сессии для подведения итогов
(4) Я не выделял(а) значимые моменты сессии для клиента, поскольку он сам запоминает самое важное
(5) Я подводил(а) итог сессии, только если об этом просил клиент
(6) В конце сессии я уточнял(а) у клиента, что он считает результатом сессии"
