competence_ru,order_original,orientation,question_ru,q,q_order,C1,c1,C2,c2,c3
межпрофессиональное сотрудничество,23,настоящее,я общаюсь на профессиональные темы преимущественно с коллегами из своего подхода,q_162,162,профессионализм,4,профессионализм-1,9,35
межпрофессиональное сотрудничество,44,настоящее,я общаюсь с коллегами из смежных профессий по рабочим вопросам,q_163,163,профессионализм,4,профессионализм-1,9,35
мотивация развиваться,27,настоящее,мне не хватает времени и сил следить за исследованиями в области психологии и смежных специальностей,q_36,36,профессионализм,4,профессионализм-2,10,38
мотивация развиваться,46,настоящее,я изучаю актуальную повестку научных событий в своей области,q_80,80,профессионализм,4,профессионализм-2,10,38
мотивация развиваться,70,настоящее,я не ощущаю необходимости в курсах повышения квалификации,q_126,126,профессионализм,4,профессионализм-2,10,38
мотивация развиваться,51,настоящее,я не провожу профилактику эмоционального выгорания,q_136,136,профессионализм,4,профессионализм-2,10,38
мотивация развиваться,68,настоящее,я посещаю конференции и участвую в них,q_183,183,профессионализм,4,профессионализм-2,10,38
мотивация развиваться,41,настоящее,"я предпринимаю специальные действия для профилактики эмоционального выгорания (супервизии, личная терапия, интервизии, группы и т.д.)",q_186,186,профессионализм,4,профессионализм-2,10,38
мультикультурность,1,настоящее,мне сложно работать с клиентом из-за его взглядов или культурных особенностей,q_38,38,отношения,2,отношения-3,7,24
мультикультурность,39,настоящее,"цвет кожи, акцент в речи или внешний вид клиента мешают моей работе",q_52,52,отношения,2,отношения-3,7,24
мультикультурность,69,настоящее,"я не отказываюсь от работы с клиентом только по причинам, связанным с его гендерной идентичностью и сексуальной ориентацией",q_124,124,отношения,2,отношения-3,7,24
мультикультурность,18,настоящее,я не работаю с людьми определенных национальностей или вероисповеданий,q_137,137,отношения,2,отношения-3,7,24
мультикультурность,48,настоящее,я поддерживаю свою информированность в области мультикультурных особенностей,q_180,180,отношения,2,отношения-3,7,24
мультикультурность,73,настоящее,"я стараюсь узнать больше об опыте клиента, связанном с его гендерной, этнической и др. идентичностью",q_217,217,отношения,2,отношения-3,7,24
мультикультурность,92,настоящее,"я учитываю в работе культурные, религиозные и гендерные особенности клиента",q_226,226,отношения,2,отношения-3,7,24
навыки тайм-менджмента,72,настоящее,"мне приходилось резко обрывать ход сессии, обращая внимание клиента на то, что время истекло",q_37,37,процесс терапии,1,альянс и сеттинг - 3,4,10
навыки тайм-менджмента,128,прошлое,окончание сессии затягивалось на 10-15 минут,q_45,45,процесс терапии,1,альянс и сеттинг - 3,4,10
навыки тайм-менджмента,87,прошлое,я не опаздывал(а) к началу сессии,q_122,122,процесс терапии,1,альянс и сеттинг - 3,4,10
навыки тайм-менджмента,31,прошлое,"я обнаруживал(а) на сессии, что время вдруг подошло к концу",q_150,150,процесс терапии,1,альянс и сеттинг - 3,4,10
навыки тайм-менджмента,2,прошлое,"я оставлял(а) время, что бы мягко завершить сессию",q_167,167,процесс терапии,1,альянс и сеттинг - 3,4,10
навыки тайм-менджмента,99,прошлое,я тщательно следил(а) за таймингом сессий,q_219,219,процесс терапии,1,альянс и сеттинг - 3,4,10
невербальные навыки,94,прошлое,"мне было трудно удерживать зрительный контакт с клиентом, это отвлекало от сути нашей беседы",q_34,34,отношения,2,отношения-1,5,16
невербальные навыки,32,прошлое,я не подстраивался(лась) под позу и манеру речи клиента,q_130,130,отношения,2,отношения-1,5,16
невербальные навыки,34,прошлое,я обращал(а) большое внимание на невербальные проявления клиента,q_151,151,отношения,2,отношения-1,5,16
невербальные навыки,92,прошлое,"я подстраивался(лась) под позу, тембр и манеру речи клиента",q_182,182,отношения,2,отношения-1,5,16
невербальные навыки,27,прошлое,"я уделял(а) внимание смыслу сказанного клиентом, а не его невербальным проявлениям",q_221,221,отношения,2,отношения-1,5,16
обратная связь,38,прошлое,"когда клиент был недоволен и не ценил проделанную работу, я расстраивался(лась) и говорил(а) клиенту о своих чувствах",q_21,21,отношения,2,отношения-2,6,22
обратная связь,95,прошлое,"когда клиент высказывал неудовлетворенность работой, я пытался(лась) переубедить его",q_22,22,отношения,2,отношения-2,6,22
обратная связь,45,прошлое,"когда клиент негативно отзывался о том, что происходило на сессии, я старался(лась) понять, что именно его не устраивало",q_27,27,отношения,2,отношения-2,6,22
обратная связь,40,прошлое,я использовал(а) шкалы обратной связи,q_97,97,отношения,2,отношения-2,6,22
обратная связь,117,прошлое,"я обсуждал(а) с клиентом нашу работу, его удовлетворенность ею",q_155,155,отношения,2,отношения-2,6,22
обсуждение контракта,102,настоящее,"в процессе терапии все быстро меняется, поэтому я не формулирую детализированный контракт о целях работы с клиентом",q_4,4,процесс терапии,1,альянс и сеттинг - 1,2,5
обсуждение контракта,84,настоящее,"я не обсуждаю контракт с клиентом, поскольку этого не предполагает подход, в котором я работаю",q_119,119,процесс терапии,1,альянс и сеттинг - 1,2,5
обсуждение контракта,5,настоящее,я обсуждаю с клиентом критерии достижения общей цели нашей работы,q_158,158,процесс терапии,1,альянс и сеттинг - 1,2,5
обсуждение контракта,14,настоящее,я обсуждаю цель работы с клиентом,q_161,161,процесс терапии,1,альянс и сеттинг - 1,2,5
обсуждение контракта,86,настоящее,"я следую за текущими процессами клиента, не инициируя обсуждение целей нашей работы",q_208,208,процесс терапии,1,альянс и сеттинг - 1,2,5
обсуждение контракта,89,настоящее,я формулирую психотерапевтический контракт с клиентом,q_227,227,процесс терапии,1,альянс и сеттинг - 1,2,5
оценка результатов,41,прошлое,во время сессии я сопоставлял(а) изначальный запрос клиента и текущие результаты,q_8,8,результаты,5,результаты,11,41
оценка результатов,103,прошлое,"я ждал(а) полного решения проблемы, чтобы вместе с клиентом подвести итоги работы",q_72,72,результаты,5,результаты,11,41
оценка результатов,74,прошлое,"я использовал(а) специальные инструменты для подведения промежуточных итогов (например, шкалы или вопросы)",q_93,93,результаты,5,результаты,11,41
оценка результатов,82,прошлое,"я не задавал(а) клиенту вопросы про результаты терапии, так как, когда они появятся, это станет само собой заметно",q_111,111,результаты,5,результаты,11,41
оценка результатов,116,прошлое,я не тратил(а) время сессии на оценку промежуточных результатов,q_144,144,результаты,5,результаты,11,41
оценка результатов,58,прошлое,"я просил(а) клиента рассказывать мне о том, как он оценивает свой прогресс",q_196,196,результаты,5,результаты,11,41
пауза,36,прошлое,"если в разговоре с клиентом возникала пауза, я старался(лась) ее чем-то заполнить",q_10,10,работа с изменениями,3,работа с изменениями,8,29
пауза,120,прошлое,"я делал(а) паузы в разговоре, чтобы дать клиенту возможность побыть со своими мыслями и переживаниям",q_67,67,работа с изменениями,3,работа с изменениями,8,29
пауза,122,прошлое,"я использовал(а) молчание, чтобы углубить контакт",q_87,87,работа с изменениями,3,работа с изменениями,8,29
пауза,17,прошлое,"я молчал(а), когда не знал(а), как продолжить работу",q_103,103,работа с изменениями,3,работа с изменениями,8,29
пауза,90,прошлое,я не пользовался(лась) техникой терапевтических пауз на сессии,q_131,131,работа с изменениями,3,работа с изменениями,8,29
пауза,55,прошлое,"я предлагал(а) клиенту помолчать, чтобы обратить его внимание на то, что с ним происходит",q_185,185,работа с изменениями,3,работа с изменениями,8,29
перефразирование и пересказ,10,прошлое,"я использовал(а) перефразирование, чтобы убедиться, что правильно понимаю клиента",q_89,89,отношения,2,отношения-1,5,13
перефразирование и пересказ,119,прошлое,я не использовал(а) перефразирование,q_115,115,отношения,2,отношения-1,5,13
перефразирование и пересказ,61,прошлое,я повторял(а) сказанное словами клиента,q_175,175,отношения,2,отношения-1,5,13
перефразирование и пересказ,81,прошлое,"я уточнял(а) у клиента, правильно ли я его понимаю",q_223,223,отношения,2,отношения-1,5,13
план сессии и отчет,85,прошлое,после завершения сессии я обдумывал(а) произошедшее на ней,q_47,47,процесс терапии,1,альянс и сеттинг - 2,3,7
план сессии и отчет,111,прошлое,после сессии я делал(а) записи по клиентскому случаю,q_49,49,процесс терапии,1,альянс и сеттинг - 2,3,7
план сессии и отчет,12,прошлое,"я корректировал(а) составленный ранее план терапии, если понимал(а), что назрели правки",q_101,101,процесс терапии,1,альянс и сеттинг - 2,3,7
план сессии и отчет,70,прошлое,я намечал(а) план на каждую сессию,q_105,105,процесс терапии,1,альянс и сеттинг - 2,3,7
план сессии и отчет,79,прошлое,я не составлял(а) отчёт после каждой сессии,q_143,143,процесс терапии,1,альянс и сеттинг - 2,3,7
поддержание результатов,21,прошлое,я акцентировал(а) внимание клиента на его достижениях,q_55,55,результаты,5,результаты,11,42
поддержание результатов,1,прошлое,я замечал(а) даже малейшие положительные изменения у клиента и говорил(а) ему о них,q_77,77,результаты,5,результаты,11,42
поддержание результатов,121,прошлое,"я не акцентировал(а) внимание на успехах клиента и ждал(а), что он сам их заметит",q_106,106,результаты,5,результаты,11,42
поддержание результатов,24,прошлое,"я не обсуждал(а) с клиентом то, что уже достигнуто, а фокусировался(лась) на том, что еще не сделано",q_118,118,результаты,5,результаты,11,42
поддержание результатов,60,прошлое,"я не отмечал(а) незначительные изменения клиента, пока проблема не была полностью решена",q_125,125,результаты,5,результаты,11,42
поддержание результатов,44,прошлое,"я поддерживал(а) в клиенте ощущение веры в свою способность достичь цели, напоминая о его предыдущих успехах",q_177,177,результаты,5,результаты,11,42
поддержка,86,прошлое,"я больше времени анализировал(а) проблему, а не поощрял(а) и одобрял(а) клиента",q_59,59,отношения,2,отношения-1,5,15
поддержка,98,прошлое,я говорил(а) клиентам слова одобрения и поддержки в процессе работы,q_62,62,отношения,2,отношения-1,5,15
поддержка,9,прошлое,я использовал(а) невербальные способы поддержки клиента,q_88,88,отношения,2,отношения-1,5,15
поддержка,72,прошлое,"я отслеживал(а) степень проявления заботы о клиенте, чтобы не формировать зависимость от терапевта",q_172,172,отношения,2,отношения-1,5,15
поддержка,101,прошлое,"я спрашивал(а) клиента о том, комфортно ли ему во время сессии",q_212,212,отношения,2,отношения-1,5,15
понятность,65,прошлое,"клиент спрашивали меня о том, что я имел(а) в виду",q_20,20,отношения,2,отношения-1,5,19
понятность,50,прошлое,я говорил(а) с клиентом понятным ему языком,q_64,64,отношения,2,отношения-1,5,19
понятность,39,прошлое,"я использовал(а) метафоры и аналогии, чтобы клиенту было понятнее, что я имел(а) в виду",q_86,86,отношения,2,отношения-1,5,19
понятность,26,прошлое,"я использовал(а) психологические термины, чтобы завоевать доверие клиента",q_90,90,отношения,2,отношения-1,5,19
понятность,102,прошлое,"я использовал(а) стиль общения, которого придерживался клиент",q_94,94,отношения,2,отношения-1,5,19
последовательность и фокус терапии,52,настоящее,"если клиент перескакивает на тему, не связанную с первоначальным запросом, то я следую за ним",q_12,12,процесс терапии,1,альянс и сеттинг - 2,3,6
последовательность и фокус терапии,99,настоящее,мы с клиентом совместно формулируем повестку сессии,q_39,39,процесс терапии,1,альянс и сеттинг - 2,3,6
последовательность и фокус терапии,90,настоящее,"на каждой сессии я напоминаю клиенту о том, что происходило на предыдущей сессии",q_41,41,процесс терапии,1,альянс и сеттинг - 2,3,6
последовательность и фокус терапии,30,настоящее,"прежде чем переходить к работе над целью, я уделяю время для формирования теплых, доверительных отношений с клиентом",q_50,50,процесс терапии,1,альянс и сеттинг - 2,3,6
последовательность и фокус терапии,42,настоящее,"что бы ни происходило на сессии, я помню про поставленную нами цель",q_53,53,процесс терапии,1,альянс и сеттинг - 2,3,6
последовательность и фокус терапии,20,настоящее,"я не выделяю никаких этапов в психотерапевтической работе, она движется единым потоком",q_110,110,процесс терапии,1,альянс и сеттинг - 2,3,6
последовательность и фокус терапии,7,настоящее,"я работаю с ощущением безопасности клиента, прежде чем переходить к конфронтации с клиентом",q_198,198,процесс терапии,1,альянс и сеттинг - 2,3,6
принятие,49,настоящее,"если я считаю переживания клиента необоснованными, то сразу говорю ему об этом",q_18,18,отношения,2,отношения-1,5,12
принятие,98,настоящее,"когда клиент плачет, я обращаю его внимание на позитивные стороны ситуации",q_29,29,отношения,2,отношения-1,5,12
принятие,35,прошлое,"когда я слушал(а) клиента, то смотрел(а) на него, активно поддерживая контакт",q_32,32,отношения,2,отношения-1,5,12
принятие,11,прошлое,"я отказывался(лась) работать с клиентом, если чувстовал(а) конфликт ценностей",q_170,170,отношения,2,отношения-1,5,12
принятие,13,прошлое,"я с уважением относился(лась) к решениям клиента, даже если не до конца понимал(а) их",q_205,205,отношения,2,отношения-1,5,12
принятие,47,настоящее,"я с уважением отношусь к личности, мировоззрению, ценностям клиента и стараюсь продемонстрировать это",q_206,206,отношения,2,отношения-1,5,12
профессиональные знания,83,настоящее,"я изучаю особенности применения техник (уместность, особенности и модификации разных упражнений)",q_81,81,профессионализм,4,профессионализм-1,9,36
профессиональные знания,78,настоящее,"я не ищу дополнительную информацию, моих знаний хватает для работы с клиентами",q_116,116,профессионализм,4,профессионализм-1,9,36
профессиональные знания,97,настоящее,"я не применяю новые приемы - лучше делать то, что уже хорошо знаешь",q_135,135,профессионализм,4,профессионализм-1,9,36
профессиональные знания,33,настоящее,"я не употребляю психологические термины, чтобы не запутывать клиента",q_147,147,профессионализм,4,профессионализм-1,9,36
профессиональные знания,80,настоящее,"я объясняю клиентам некоторые психологические термины, которые считаю полезными для понимания ситуации",q_164,164,профессионализм,4,профессионализм-1,9,36
профессиональные знания,61,настоящее,"я читаю дополнительную литературу, чтобы лучше разобраться в ситуации клиента",q_230,230,профессионализм,4,профессионализм-1,9,36
прямое руководство,115,прошлое,я давал(а) клиенту домашние задания,q_65,65,работа с изменениями,3,работа с изменениями,8,30
прямое руководство,7,прошлое,я использовал(а) рекомендации и предписания в своей работе,q_91,91,работа с изменениями,3,работа с изменениями,8,30
прямое руководство,104,прошлое,я не предлагал(а) клиенту конкретных решений ситуации,q_132,132,работа с изменениями,3,работа с изменениями,8,30
прямое руководство,77,прошлое,я предлагал(а) клиенту варианты поведения в определенных ситуациях,q_184,184,работа с изменениями,3,работа с изменениями,8,30
распознавание разрывов в терапевтическом альянсе,19,настоящее,"когда клиент закрывается в процессе терапии, я не пытаюсь его вовлечь в разговор, а жду инициативы от него",q_26,26,отношения,2,отношения-2,6,20
распознавание разрывов в терапевтическом альянсе,43,настоящее,"я делаю выбор в пользу техник, работающих на цели клиента, а не техник работающих на отношения с клиентом",q_68,68,отношения,2,отношения-2,6,20
распознавание разрывов в терапевтическом альянсе,65,настоящее,"я замечаю, что клиент отстраняется, закрывается или уклоняется от содержания нашей беседы на сессиях",q_78,78,отношения,2,отношения-2,6,20
распознавание разрывов в терапевтическом альянсе,63,настоящее,"я обсуждаю с клиентом, как его пропуски и опоздания связаны с нашими с ним терапевтическими отношениями",q_160,160,отношения,2,отношения-2,6,20
распознавание разрывов в терапевтическом альянсе,22,настоящее,"я стараюсь восстановить контакт с клиентом, если замечаю, что он нарушается",q_216,216,отношения,2,отношения-2,6,20
распознавание разрывов в терапевтическом альянсе,16,настоящее,"я уточняю, с чем связаны изменения в поведении клиента на сессии (изменение интонации, непривычно долгое молчание и.т.д)",q_225,225,отношения,2,отношения-2,6,20
резюмирование,54,прошлое,по следам рассказа клиента я обобщал(а) суть его переживаний и размышлений,q_46,46,отношения,2,отношения-1,5,18
резюмирование,71,прошлое,после рассказа клиента я кратко резюмировал(а) ему суть сказанного,q_48,48,отношения,2,отношения-1,5,18
резюмирование,15,прошлое,я избегал(а) переспрашиваний в процессе работы,q_79,79,отношения,2,отношения-1,5,18
резюмирование,8,прошлое,я не использовал(а) обобщение,q_114,114,отношения,2,отношения-1,5,18
резюмирование,46,прошлое,я резюмировал(а) слова клиента,q_203,203,отношения,2,отношения-1,5,18
резюмирование сессии и результатов терапии c клиентом,63,прошлое,"в конце сессии я уточнял(а) у клиента, что он считает результатом сессии",q_1,1,результаты,5,результаты,11,40
резюмирование сессии и результатов терапии c клиентом,33,прошлое,"я не выделял(а) значимые моменты сессии для клиента, поскольку он сам запоминает самое важное",q_109,109,результаты,5,результаты,11,40
резюмирование сессии и результатов терапии c клиентом,109,прошлое,я не подводил(а) итогов на сессии,q_129,129,результаты,5,результаты,11,40
резюмирование сессии и результатов терапии c клиентом,47,прошлое,"я подводил(а) итог сессии, только если об этом просил клиент",q_176,176,результаты,5,результаты,11,40
резюмирование сессии и результатов терапии c клиентом,59,прошлое,я специально оставлял(а) время в конце сессии для подведения итогов,q_210,210,результаты,5,результаты,11,40
самооценка,107,прошлое,"вне сессий я тренировал(а) свои профессиональные навыки (например, в группах, на тренингах и т.д.)",q_7,7,профессионализм,4,профессионализм-2,10,39
