order_original,orientation,competence_ru,question_ru
40,настоящее,Супервизия - личная терапия - интервизия,Я не ощущаю потребности в личной терапии
41,настоящее,мотивация развиваться,"Я предпринимаю специальные действия для профилактики эмоционального выгорания (супервизии, личная терапия, интервизии, группы и т.д.)"
42,настоящее,последовательность и фокус терапии,"Что бы ни происходило на сессии, я помню про поставленную нами цель"
43,настоящее,Распознавание разрывов в терапевтическом альянсе,"Я делаю выбор в пользу техник, работающих на цели клиента, а не техник работающих на отношения с клиентом"
44,настоящее,межпрофессиональное сотрудничество,Я общаюсь с коллегами из смежных профессий по рабочим вопросам
45,настоящее,сопротивление,"Когда клиент отказывается работать с какой-то техникой, я обсуждаю с ним возможность альтернативных вариантов"
46,настоящее,мотивация развиваться,Я изучаю актуальную повестку научных событий в своей области
47,настоящее,принятие,"Я с уважением отношусь к личности, мировоззрению, ценностям клиента и стараюсь продемонстрировать это"
48,настоящее,Мультикультурность,Я поддерживаю свою информированность в области мультикультурных особенностей
49,настоящее,принятие,"Если я считаю переживания клиента необоснованными, то сразу говорю ему об этом"
50,настоящее,Супервизия - личная терапия - интервизия,Я прохожу личную терапию для проработки собственных проблем и запросов
51,настоящее,мотивация развиваться,Я не провожу профилактику эмоционального выгорания
52,настоящее,последовательность и фокус терапии,"Если клиент перескакивает на тему, не связанную с первоначальным запросом, то я следую за ним"
53,настоящее,актуализация цели,"Я переформулирую и уточняю цели терапии, если это необходимо"
54,настоящее,Супервизия - личная терапия - интервизия,Я обращаюсь к интервизии и/или супервизии для рефлексии работы с клиентами
55,настоящее,сопротивление,"Если клиент пытается манипулировать мной, я замечаю и сообщаю ему об этом"
56,настоящее,знание границ своей компетентности,"Я пробую немедикаментозные способы помощи, прежде чем рекомендовать обратиться к специалистам по поводу медикаментозного лечения"
57,настоящее,актуализация цели,В своей работе я уделяю внимание проговариванию конкретных формулировок целей
58,настоящее,уместное самораскрытие,"Я нормализую переживания клиента, раскрывая перед ним свой опыт"
59,настоящее,сопротивление,"Если клиент не хочет работать с какой-то темой, то я соглашаюсь и не затрагиваю ее"
60,настоящее,знание границ своей компетентности,"Даже если у меня возникают сомнения по поводу какого-то клиента, я стараюсь сначала справиться сам(а), и только при ухудшении его состояния обращаюсь к другим специалистам"
61,настоящее,Профессиональные знания,"Я читаю дополнительную литературу, чтобы лучше разобраться в ситуации клиента"
62,настоящее,уместное самораскрытие,"Когда клиент задает вопросы обо мне, я отвечаю максимально подробно"
63,настоящее,Распознавание разрывов в терапевтическом альянсе,"Я обсуждаю с клиентом, как его пропуски и опоздания связаны с нашими с ним терапевтическими отношениями"
64,настоящее,актуализация цели,"Я обсуждаю результаты, которые хочет получить клиент в ходе терапии"
65,настоящее,Распознавание разрывов в терапевтическом альянсе,"Я замечаю, что клиент отстраняется, закрывается или уклоняется от содержания нашей беседы на сессиях"
66,настоящее,сопротивление,"Если я подозреваю у клиента наличие сопротивления, я задаю вопрос об этом"
67,настоящее,знание границ своей компетентности,"Я использую диагностические процедуры (интервью, опросники, мануалы), чтобы убедиться, что обладаю достаточной компетенцией для работы с клиентом"
68,настоящее,мотивация развиваться,Я посещаю конференции и участвую в них
69,настоящее,Мультикультурность,"Я не отказываюсь от работы с клиентом только по причинам, связанным с его гендерной идентичностью и сексуальной ориентацией"
70,настоящее,мотивация развиваться,Я не ощущаю необходимости в курсах повышения квалификации
71,настоящее,сопротивление,Я останавливаю попытки манипуляций со стороны клиента
72,настоящее,навыки тайм-менджмента,"Мне приходилось резко обрывать ход сессии, обращая внимание клиента на то, что время истекло"
73,настоящее,Мультикультурность,"Я стараюсь узнать больше об опыте клиента, связанном с его гендерной, этнической и др. идентичностью"
74,настоящее,уместное самораскрытие,"Я рассказываю клиенту о личном опыте применения упражнений и техник (например, практик внимательности), которые использую в терапии"
75,настоящее,саморегуляция,"Я отделяю чувства, которые переживаю в связи с процессом сессии, от своих личных переживаний"
76,настоящее,уместное самораскрытие,"Когда клиент задает вопросы обо мне, я избегаю ответа на них"
77,настоящее,актуализация цели,"Я поддерживаю в терапии актуальный процесс клиента, а не концентрируюсь на целях."
78,настоящее,Профессиональные знания,"Я не ищу дополнительную информацию, моих знаний хватает для работы с клиентами"
79,настоящее,Супервизия - личная терапия - интервизия,"Я обращаюсь к своим коллегам, чтобы обсудить возникающие в процессе консультирования проблемы (например, этические, эмоциональные и пр.)"
80,настоящее,Профессиональные знания,"Я объясняю клиентам некоторые психологические термины, которые считаю полезными для понимания ситуации"
81,настоящее,знание границ своей компетентности,"На первых сессиях я понимаю, могу ли помочь клиенту, или необходимо перенаправить его к другому специалисту"
82,настоящее,информация о психотерапии,"Я не рассказываю клиентам о том, как работаю, поскольку считаю, что это никак не повлияет на эффективность нашей работы"
83,настоящее,Профессиональные знания,"Я изучаю особенности применения техник (уместность, особенности и модификации разных упражнений)"
84,настоящее,обсуждение контракта,"Я не обсуждаю контракт с клиентом, поскольку этого не предполагает подход, в котором я работаю"
85,настоящее,конфиденциальность,Я согласовываю с клиентом возможность аудио/видео записи сессии (чек бокс)
86,настоящее,обсуждение контракта,"Я следую за текущими процессами клиента, не инициируя обсуждение целей нашей работы"
87,настоящее,информация о психотерапии,"Я объясняю клиенту цель и способ действия интервенций, которые я применяю"
88,настоящее,саморегуляция,"Негативные чувства и мысли, связанные с клиентом, не влияют на мою работу"
89,настоящее,обсуждение контракта,Я формулирую психотерапевтический контракт с клиентом
90,настоящее,последовательность и фокус терапии,"На каждой сессии я напоминаю клиенту о том, что происходило на предыдущей сессии"
91,настоящее,границы и правила,"Я допускаю общение с клиентом между сессиями, даже если мы об этом не договариваемся"
92,настоящее,Мультикультурность,"Я учитываю в работе культурные, религиозные и гендерные особенности клиента"
93,настоящее,Супервизия - личная терапия - интервизия,Я не прибегаю к супервизиям/интервизиям в своей работе
94,настоящее,саморегуляция,"Я не анализирую эмоции, возникающие у меня во время сессии"
95,настоящее,знание границ своей компетентности,"Я беру в работу клиента, даже если не учился(лась) работать именно с таким типом проблем"
96,настоящее,межпрофессиональное сотрудничество,"Я не интересуюсь спецификой смежных дисциплин (психиатрии, биологии, социальной работы и пр.)"
97,настоящее,Профессиональные знания,"Я не применяю новые приемы - лучше делать то, что уже хорошо знаешь"
98,настоящее,принятие,"Когда клиент плачет, я обращаю его внимание на позитивные стороны ситуации"
99,настоящее,последовательность и фокус терапии,Мы с клиентом совместно формулируем повестку сессии
100,настоящее,конфиденциальность,"Я не трачу время клиентов на обсуждение основ конфиденциальности, ведь клиенты и так знают, что могут доверить психотерапевту свои секреты (чек-бокс)"
101,настоящее,саморегуляция,"Если я испытываю негативные чувства по отношению к клиенту, я жду, когда они сами собой пройдут"
102,настоящее,обсуждение контракта,"В процессе терапии все быстро меняется, поэтому я не формулирую детализированный контракт о целях работы с клиентом"
1,прошлое,Поддержание результатов,Я замечал(а) даже малейшие положительные изменения у клиента и говорил(а) ему о них
2,прошлое,навыки тайм-менджмента,"Я оставлял(а) время, что бы мягко завершить сессию"
3,прошлое,эмпатия,"Я не отзеркаливал(а) чувства клиента, чтобы не вовлечься в его переживания и быть в состоянии помочь ему"
4,прошлое,гибкость и адаптивность,Я строго придерживался(лась) плана работы и действовал(а) согласно ему
5,прошлое,вопросы,"Сначала я собирал(а) как можно больше информации о жизни клиента, а потом думал(а), что из этого пригодится в работе"
6,прошлое,эмпатия,"Я не называл(а) чувства клиента, он сам должен осознавать и называть их"
7,прошлое,прямое руководство,Я использовал(а) рекомендации и предписания в своей работе
8,прошлое,резюмирование,Я не использовал(а) обобщение
9,прошлое,поддержка,Я использовал(а) невербальные способы поддержки клиента
10,прошлое,перефразирование и пересказ,"Я использовал(а) перефразирование, чтобы убедиться, что правильно понимаю клиента"
11,прошлое,принятие,"Я отказывался(лась) работать с клиентом, если чувстовал(а) конфликт ценностей"
12,прошлое,план сессии и отчет,"Я корректировал(а) составленный ранее план терапии, если понимал(а), что назрели правки"
13,прошлое,принятие,"Я с уважением относился(лась) к решениям клиента, даже если не до конца понимал(а) их"
14,прошлое,интерпретации,"Я акцентировал(а) внимание клиента на том, что его действия, слова и чувства могут иметь определенный психологический смысл"
15,прошлое,резюмирование,Я избегал(а) переспрашиваний в процессе работы
16,прошлое,самооценка,"Я анализировал(а) проведенные мною сессии, чтобы выявить свои зоны развития"
17,прошлое,пауза,"Я молчал(а), когда не знал(а), как продолжить работу"
18,прошлое,информация о психических процессах,"Я использовал(а) свои знания о психических процессах, чтобы объяснить клиенту то, что с ним происходит"
19,прошлое,интерпретации,Я не раскрывал(а) клиенту свое видение его случая
20,прошлое,концептуализация случая,"Я переформулировал(а) клиенту его слова, согласно модели терапии, в которой я работаю"
21,прошлое,Поддержание результатов,Я акцентировал(а) внимание клиента на его достижениях
22,прошлое,конгруэнтность,"На вопросы клиента о моих чувствах я давал(а) честный ответ, даже если это могло задеть его"
23,прошлое,эмпатия,"Когда я слушал(а) клиента, представлял(а), что бы я чувствовал(а), если бы эти события произошли в моей жизни"
24,прошлое,Поддержание результатов,"Я не обсуждал(а) с клиентом то, что уже достигнуто, а фокусировался(лась) на том, что еще не сделано"
25,прошлое,информация о психических процессах,"Я не объяснял клиенту, как работает его психика, так как считаю, что осознавание этого происходит (должно происходить) в процессе работы"
26,прошлое,понятность,"Я использовал(а) психологические термины, чтобы завоевать доверие клиента"
27,прошлое,невербальные навыки,"Я уделял(а) внимание смыслу сказанного клиентом, а не его невербальным проявлениям"
28,прошлое,концептуализация случая,"Я делал(а) концептуализацию случая только на первой встрече, а дальше уже работал(а) с проблемой"
29,прошлое,эмпатия,"Я уделял(а) больше внимания решению проблем клиента, а не разговорам о его чувствах"
30,прошлое,вопросы,"Я использовал(а) вопросы только для сбора информации, а не для продвижения терапевтического процесса"
31,прошлое,навыки тайм-менджмента,"Я обнаруживал(а) на сессии, что время вдруг подошло к концу"
32,прошлое,невербальные навыки,Я не подстраивался(лась) под позу и манеру речи клиента
33,прошлое,резюмирование сессии и результатов терапии c клиентом,"Я не выделял(а) значимые моменты сессии для клиента, поскольку он сам запоминает самое важное"
34,прошлое,невербальные навыки,Я обращал(а) большое внимание на невербальные проявления клиента
35,прошлое,принятие,"Когда я слушал(а) клиента, то смотрел(а) на него, активно поддерживая контакт"
36,прошлое,пауза,"Если в разговоре с клиентом возникала пауза, я старался(лась) ее чем-то заполнить"
37,прошлое,вопросы,"Я хорошо понимал(а), что я спрашиваю у клиента и зачем"
38,прошлое,обратная связь,"Когда клиент был недоволен и не ценил проделанную работу, я расстраивался(лась) и говорил(а) клиенту о своих чувствах"
39,прошлое,понятность,"Я использовал(а) метафоры и аналогии, чтобы клиенту было понятнее, что я имел(а) в виду"
40,прошлое,обратная связь,Я использовал(а) шкалы обратной связи
41,прошлое,оценка результатов,Во время сессии я сопоставлял(а) изначальный запрос клиента и текущие результаты
42,прошлое,стимуляция,"Если клиент сам не рассказывал подробно о чем-то, я не просил(а) клиента рассказать больше"
43,прошлое,интерпретации,"Я не использовал(а) интерпретации, чтобы не исказить субъективный опыт клиента"
44,прошлое,Поддержание результатов,"Я поддерживал(а) в клиенте ощущение веры в свою способность достичь цели, напоминая о его предыдущих успехах"
45,прошлое,обратная связь,"Когда клиент негативно отзывался о том, что происходило на сессии, я старался(лась) понять, что именно его не устраивало"
46,прошлое,резюмирование,Я резюмировал(а) слова клиента
47,прошлое,резюмирование сессии и результатов терапии c клиентом,"Я подводил(а) итог сессии, только если об этом просил клиент"
48,прошлое,альтернативные взгляды,"Я не привносил(а) информации, противоречащей взгляду клиента"
49,прошлое,челендж (работа с затруднениями),"Когда я наблюдал(а) у клиента какой-то дисфункциональный процесс/убеждение или внутреннее противоречие, я прямо указывал(а) на это"
50,прошлое,понятность,Я говорил(а) с клиентом понятным ему языком
51,прошлое,информация о психических процессах,Я информировал(а) клиента о способах совладания с негативными эмоциональными состояниями
52,прошлое,информация о психических процессах,"Я говорил(а) клиенту, как его эмоциональное состояние может влиять на его физическое самочувствие"
53,прошлое,конгруэнтность,Я открыто делился своими чувствами с клиентом во время сессии
54,прошлое,резюмирование,По следам рассказа клиента я обобщал(а) суть его переживаний и размышлений
55,прошлое,пауза,"Я предлагал(а) клиенту помолчать, чтобы обратить его внимание на то, что с ним происходит"
56,прошлое,концептуализация случая,"Я дополнял(а) концептуализацию случая клиента новой информацией, которую получал(а)"
57,прошлое,интерпретации,Я просил(а) клиента говорить о своих чувствах и мыслях и не предлагал(а) своих интерпретаций
58,прошлое,оценка результатов,"Я просил(а) клиента рассказывать мне о том, как он оценивает свой прогресс"
59,прошлое,резюмирование сессии и результатов терапии c клиентом,Я специально оставлял(а) время в конце сессии для подведения итогов
60,прошлое,Поддержание результатов,"Я не отмечал(а) незначительные изменения клиента, пока проблема не была полностью решена"
61,прошлое,перефразирование и пересказ,Я повторял(а) сказанное словами клиента
62,прошлое,вопросы,"Задавая вопросы клиенту, я опирался(лась) на интуицию"
63,прошлое,резюмирование сессии и результатов терапии c клиентом,"В конце сессии я уточнял(а) у клиента, что он считает результатом сессии"
64,прошлое,альтернативные взгляды,"Я рекомендовал(а) клиенту ознакомиться с дополнительной информацией (исследования, книги, статистические данные, статьи и др.), которые не совпадают с его убеждениями"
65,прошлое,понятность,"Клиент спрашивали меня о том, что я имел(а) в виду"
66,прошлое,контекст,"Я возвращал(а) клиента к изначальному плану терапии, если он отвлекался на другие цели"
67,прошлое,концептуализация случая,"Мне не было нужно подробно расспрашивать клиента о его проблеме, поскольку я сразу понимал(а), что с ним происходит"
68,прошлое,стимуляция,Я просил(а) клиента на сессии усилить невербальные проявления чувств и переживаний
69,прошлое,конгруэнтность,"Я старался(лась) не показывать клиенту свои чувства, возникающие в процессе терапии"
70,прошлое,план сессии и отчет,Я намечал(а) план на каждую сессию
71,прошлое,резюмирование,После рассказа клиента я кратко резюмировал(а) ему суть сказанного
72,прошлое,поддержка,"Я отслеживал(а) степень проявления заботы о клиенте, чтобы не формировать зависимость от терапевта"
73,прошлое,альтернативные взгляды,Я старался(лась) не влиять на убеждения клиента
74,прошлое,оценка результатов,"Я использовал(а) специальные инструменты для подведения промежуточных итогов (например, шкалы или вопросы)"
75,прошлое,концептуализация случая,"Я задавал(а) вопросы, необходимые для концептуализации случая клиента"
76,прошлое,стимуляция,"Я использовал(а) фразы «расскажите больше о…», «а что еще…?»"
77,прошлое,прямое руководство,Я предлагал(а) клиенту варианты поведения в определенных ситуациях
78,прошлое,контекст,"В начале сессии я обсуждал(а) с клиентом, с чем бы он хотел поработать сегодня"
79,прошлое,план сессии и отчет,Я не составлял(а) отчёт после каждой сессии
80,прошлое,гибкость и адаптивность,"Я менял(а) план работы, в зависимости от того, что происходило на сессии"
81,прошлое,перефразирование и пересказ,"Я уточнял(а) у клиента, правильно ли я его понимаю"
82,прошлое,оценка результатов,"Я не задавал(а) клиенту вопросы про результаты терапии, так как, когда они появятся, это станет само собой заметно"
83,прошлое,вопросы,"Я задавал(а) вопросы, ориентируясь на поставленную цель терапии"
84,прошлое,гибкость и адаптивность,"Я адаптировал(а) свою работу в зависимости от потребностей, актуальных для клиента"
85,прошлое,план сессии и отчет,После завершения сессии я обдумывал(а) произошедшее на ней
86,прошлое,поддержка,"Я больше времени анализировал(а) проблему, а не поощрял(а) и одобрял(а) клиента"
87,прошлое,навыки тайм-менджмента,Я не опаздывал(а) к началу сессии
88,прошлое,интерпретации,"Я рассказывал(а) клиенту о том, что может значить его поведение или состояние с точки зрения той теории, которой я учился(лась)"
89,прошлое,челендж (работа с затруднениями),"Я ждал(а), когда клиент сам обнаружит свои внутренние противоречия и затруднения"
90,прошлое,пауза,Я не пользовался(лась) техникой терапевтических пауз на сессии
91,прошлое,челендж (работа с затруднениями),"Я не указывал(а) клиенту на его дисфункциональные процессы, убеждения или внутренние противоречия, чтобы не нарушить наши отношения"
92,прошлое,невербальные навыки,"Я подстраивался(лась) под позу, тембр и манеру речи клиента"
93,прошлое,концептуализация случая,Я не создавал(а) концептуализацию/модель случая клиента
94,прошлое,невербальные навыки,"Мне было трудно удерживать зрительный контакт с клиентом, это отвлекало от сути нашей беседы"
95,прошлое,обратная связь,"Когда клиент высказывал неудовлетворенность работой, я пытался(лась) переубедить его"
96,прошлое,челендж (работа с затруднениями),"Я обсуждал(а) с клиентом его затруднения, и мы вместе размышляли над тем, как их преодолеть"
97,прошлое,гибкость и адаптивность,"Я продолжал(а) использовать выбранные приемы работы, вне зависимости от того, что происходило на сессии"
98,прошлое,поддержка,Я говорил(а) клиентам слова одобрения и поддержки в процессе работы
99,прошлое,навыки тайм-менджмента,Я тщательно следил(а) за таймингом сессий
100,прошлое,конгруэнтность,"Я прикладывал(а) усилия, чтобы не показывать клиенту связанные с ним негативные эмоции"
101,прошлое,поддержка,"Я спрашивал(а) клиента о том, комфортно ли ему во время сессии"
102,прошлое,понятность,"Я использовал(а) стиль общения, которого придерживался клиент"
103,прошлое,оценка результатов,"Я ждал(а) полного решения проблемы, чтобы вместе с клиентом подвести итоги работы"
104,прошлое,прямое руководство,Я не предлагал(а) клиенту конкретных решений ситуации
105,прошлое,самооценка,"Я проводил(а) самостоятельный анализ сессий, чтобы лучше разобраться в случае клиента"
106,прошлое,эмпатия,"Я называл(а) чувства, переживаемые клиентом"
107,прошлое,самооценка,"Вне сессий я тренировал(а) свои профессиональные навыки (например, в группах, на тренингах и т.д.)"
108,прошлое,контекст,"Я не переключался(лась) на текущие потребности клиента, не связанные с выбранной целью"
109,прошлое,резюмирование сессии и результатов терапии c клиентом,Я не подводил(а) итогов на сессии
110,прошлое,самооценка,Я не анализировал(а) случай клиента между сессиями
111,прошлое,план сессии и отчет,После сессии я делал(а) записи по клиентскому случаю
112,прошлое,челендж (работа с затруднениями),"Я использовал(а) техники, помогающие клиенту преодолеть его дисфункциональные процессы и паттерны поведения"
113,прошлое,контекст,"Я следил(а) за тем, как менялось состояние клиента от начала к концу сессии"
114,прошлое,самооценка,Между сессиями я анализировал(а) качество терапевтического альянса
115,прошлое,прямое руководство,Я давал(а) клиенту домашние задания
116,прошлое,оценка результатов,Я не тратил(а) время сессии на оценку промежуточных результатов
117,прошлое,обратная связь,"Я обсуждал(а) с клиентом нашу работу, его удовлетворенность ею"
118,прошлое,альтернативные взгляды,"Я задавал(а) вопросы, направленные на расширение и дополнение видения ситуации клиентом"
119,прошлое,перефразирование и пересказ,Я не использовал(а) перефразирование
120,прошлое,пауза,"Я делал(а) паузы в разговоре, чтобы дать клиенту возможность побыть со своими мыслями и переживаниям"
121,прошлое,Поддержание результатов,"Я не акцентировал(а) внимание на успехах клиента и ждал(а), что он сам их заметит"
122,прошлое,пауза,"Я использовал(а) молчание, чтобы углубить контакт"
123,прошлое,самооценка,"На сессиях я действовал(а) интуитивно, не вдаваясь в детальный анализ своей работы"
124,прошлое,стимуляция,"Когда клиент дистанцировался и избегал говорить о чем-то, я старался(лась) вовлечь его в обсуждение"
125,прошлое,эмпатия,Я часто испытывал(а) теплые чувства и заботу по отношению к клиенту
126,прошлое,стимуляция,"Я просил(а) клиента подробнее рассказать о чувствах, которые он испытывает"
127,прошлое,конгруэнтность,"Я поддерживал(а) клиента, даже если чувствовал(а), что не хочу этого делать"
128,прошлое,навыки тайм-менджмента,Окончание сессии затягивалось на 10-15 минут 
